website,model,approach,status,total,positive,negative,edge,high,medium,low
Mifos,gpt-4o-mini,agent,OK,550,171,209,170,277,226,47
Mifos,gpt-4o-mini,agent_no_ast,OK,405,126,154,125,226,119,54
Mifos,gpt-4o-mini,agent_no_critic,OK,529,164,190,175,273,203,51
Mifos,gpt-4o-mini,agent_no_workflows,OK,509,136,206,167,249,185,70
Mifos,gpt-5-mini,agent,OK,807,362,242,203,416,319,72
Mifos,gpt-5-mini,agent_no_ast,OK,731,283,260,188,371,305,55
Mifos,gpt-5-mini,agent_no_critic,OK,876,396,258,222,372,416,88
Mifos,gpt-5-mini,agent_no_workflows,OK,671,259,221,191,275,314,82
MoodleStudent,gpt-4o-mini,agent,OK,6,4,2,0,5,1,0
MoodleStudent,gpt-4o-mini,agent_no_ast,OK,91,29,29,33,35,30,19
MoodleStudent,gpt-4o-mini,agent_no_critic,OK,116,43,33,40,36,55,16
MoodleStudent,gpt-4o-mini,agent_no_workflows,OK,101,33,34,34,38,34,21
MoodleStudent,gpt-5-mini,agent,OK,168,74,41,53,68,77,23
MoodleStudent,gpt-5-mini,agent_no_ast,OK,168,92,35,41,72,77,19
MoodleStudent,gpt-5-mini,agent_no_critic,OK,175,88,44,43,81,77,17
MoodleStudent,gpt-5-mini,agent_no_workflows,OK,136,58,34,44,52,63,21
MoodleTeacher,gpt-4o-mini,agent,OK,200,68,61,71,71,90,31
MoodleTeacher,gpt-4o-mini,agent_no_ast,OK,170,59,55,56,86,51,30
MoodleTeacher,gpt-4o-mini,agent_no_critic,OK,217,67,74,76,93,92,20
MoodleTeacher,gpt-4o-mini,agent_no_workflows,OK,186,70,55,61,58,99,25
MoodleTeacher,gpt-5-mini,agent,OK,295,147,65,83,126,138,31
MoodleTeacher,gpt-5-mini,agent_no_ast,OK,323,193,59,71,131,159,33
MoodleTeacher,gpt-5-mini,agent_no_critic,OK,343,210,58,75,111,189,43
MoodleTeacher,gpt-5-mini,agent_no_workflows,OK,259,109,71,79,105,112,42
Parabank,gpt-4o-mini,agent,OK,193,23,99,71,98,76,19
Parabank,gpt-4o-mini,agent_no_ast,OK,163,25,81,57,96,48,19
Parabank,gpt-4o-mini,agent_no_critic,OK,190,22,103,65,105,66,19
Parabank,gpt-4o-mini,agent_no_workflows,OK,192,25,103,64,104,68,20
Parabank,gpt-5-mini,agent,OK,230,47,93,90,93,117,20
Parabank,gpt-5-mini,agent_no_ast,OK,261,71,104,86,111,130,20
Parabank,gpt-5-mini,agent_no_critic,OK,238,44,101,93,94,121,23
Parabank,gpt-5-mini,agent_no_workflows,OK,243,48,101,94,103,111,29
PHPTravels,gpt-4o-mini,agent,OK,315,56,149,110,176,96,36
PHPTravels,gpt-4o-mini,agent_no_ast,OK,235,65,97,73,125,55,49
PHPTravels,gpt-4o-mini,agent_no_critic,OK,301,57,132,112,157,107,35
PHPTravels,gpt-4o-mini,agent_no_workflows,OK,329,75,143,111,162,120,39
PHPTravels,gpt-5-mini,agent,OK,394,136,137,121,183,173,38
PHPTravels,gpt-5-mini,agent_no_ast,OK,377,147,134,96,192,154,31
PHPTravels,gpt-5-mini,agent_no_critic,OK,433,148,143,142,179,209,45
PHPTravels,gpt-5-mini,agent_no_workflows,OK,387,116,138,133,149,199,39
SwagLab,gpt-4o-mini,agent,OK,70,21,23,26,27,34,6
SwagLab,gpt-4o-mini,agent_no_ast,OK,67,18,26,23,36,18,13
SwagLab,gpt-4o-mini,agent_no_critic,OK,77,23,25,29,34,34,9
SwagLab,gpt-4o-mini,agent_no_workflows,OK,73,21,23,29,34,20,16
SwagLab,gpt-5-mini,agent,OK,88,26,25,37,42,34,12
SwagLab,gpt-5-mini,agent_no_ast,OK,85,32,24,29,36,39,10
SwagLab,gpt-5-mini,agent_no_critic,OK,87,25,24,38,38,40,9
SwagLab,gpt-5-mini,agent_no_workflows,OK,94,32,24,38,38,44,12
